,fallacy_reason,fallacy_type,premise_content,premise_type,title,url
697,"""we should embrace Fascism whenever it will save us from Communism""
-
Who said that fascism could save a country from communism? It begs the obvious ""how so?"" question.",Begging The Question,Communism has directly lead to more innocent deaths than Fascism. Therefore we should embrace Fascism whenever it will save us from Communism. Banning Fascism might cause far greater harm. By your own logic we should embrace Fascism.,but,"Fascist thought should be banned, and prominent proponents of fascism imprisoned as a deterrent",https://en.arguman.org/fascism-should-be-banned-and-all-fascists-imprisoned
698,Claims one thing will inevitably lead to another without any rational argument or demonstrable mechanism.,Fallacy Of Slippery Slope,Games like dodgeball are used to keep the students from getting overly dissatisfied. Take away dodgeball and you'll have a riot for the first few years at least.,but,Mixed Martial Arts should be taught in school from an early age.,https://en.arguman.org/mixed-martial-arts-should-be-taught-in-schools-from-an-early-age
699,"Purpose was motivation, not evidence.",Fallacy Of Irrelevant Purpose,"Motive, while useful, isn't necessarily evidence.",but,Bush did 9/11,https://en.arguman.org/bush-did-911
700,"Purpose was motivation, not evidence.",Fallacy Of Irrelevant Purpose,"Motive, while useful, isn't necessarily evidence.",but,Bush did 9/11,https://en.arguman.org/bush-did-911
701,"Purpose was motivation, not evidence.",Fallacy Of Irrelevant Purpose,"Motive, while useful, isn't necessarily evidence.",but,Bush did 9/11,https://en.arguman.org/bush-did-911
702,"This user confuses ""fallacy"" with otherwise valid arguments s/he either does not agree with or does not have the capacity to address.",Poisoning The Well,Comparing the ownership of private property to one's autonomy over one's body is extremely disingenuous. An argument made from a false analogy like this is not an argument worth addressing.,but,Property is theft.,https://en.arguman.org/property-is-theft
703,The bad actions of one's ancestors do not incriminate the person at hand.,Fallacy Of Red Herring,Bush is the grand-son of Aleister Crowley,because,Bush did 9/11,https://en.arguman.org/bush-did-911
704,Alcohol is not fascism. It is unproductive and extremely deceptive to compare the consumption of beverages to the spread of ideologies.,False Analogy,"Banning things doesn't tend to decrease its presence by all that much. Take Iran for example. Alcohol is banned there, yet 60,000,000 liters of it is still consumed there each year.",but,"Fascist thought should be banned, and prominent proponents of fascism imprisoned as a deterrent",https://en.arguman.org/fascism-should-be-banned-and-all-fascists-imprisoned
705,"You are appealing to the belief that evolution is not real, without justifying that position.",Appeal To Belief,,however,Evolution is not observable.,https://en.arguman.org/evolution-is-not-an-observable-phenomenon
706,"This is essentially circular reasoning. ""We should ban a thing"" needs to be explained by why it should be banned, not the idea that it would reduce it (which is the obvious goal).",Fallacy Of Irrelevant Purpose,It is a step towards preventing the re-emergence of fascism.,because,"Fascist thought should be banned, and prominent proponents of fascism imprisoned as a deterrent",https://en.arguman.org/fascism-should-be-banned-and-all-fascists-imprisoned
707,Ad hominem,Fallacy Of Red Herring,Then you have no idea what Evolution is.,but,Evolution is not observable.,https://en.arguman.org/evolution-is-not-an-observable-phenomenon
708,"Ad Hominem
Poisoning the well",Fallacy Of Red Herring,"OP seems to have a general problem defining ""change"" and how we as humans can observe change. It has absolutely nothing to do with the original premise anymore and therefore I consider OP's further comments to be irrelevant.",because,Evolution is not observable.,https://en.arguman.org/evolution-is-not-an-observable-phenomenon
709,Argumentum ad populum,Fallacy Of Red Herring,The premise you linked has more than a 90% objection rate. It's not a good idea to link to an almost entirely rejected and falsified premise.,but,Evolution is not observable.,https://en.arguman.org/evolution-is-not-an-observable-phenomenon
710,Argumentum ad populum,Fallacy Of Red Herring,"If every human was polled ""Is the taking of a life immoral?"", almost all of them would say that it is immoral.",but,The taking of a life is not immoral.,https://en.arguman.org/the-taking-of-a-life-is-not-amoral
711,This looks like a joke or troll post.,Irrelevant Conclusion,AI will eventually learn how to put it in your butt and it will really hurt.,but,We should stop working on Artificial Intelligence,https://en.arguman.org/we-should-stop-working-on-artificial-intelligence
712,Argument is that this is how we think about things and therefore is how we ought to think about things.,Fallacy Of Is To Ought,Human brain thinks about world in stateful manner. Switching to stateless thinking requires more training than learning stateful paradigm.,because,Functional programming is not useful for most apps,https://en.arguman.org/functional-programming-is-not-useful
713,"Xamarin is not a programming language, it's a 3rd party framework. Out of the topic.",Irrelevant Conclusion,Xamarin allows you to write in a proper language like c#,but,The Swift programming language will become the standard for iOS application development while Objective-C will become obsolete,https://en.arguman.org/the-swift-programming-language-will-become-the-standard-for-ios-application-development-while-objective-c-will-become-obsolete
714,You assume that the generation of maximum surplus (profit) is a cause which precludes maximum social benefit. A case could be made that maximum social benefit requires first the attaining of maximum surplus. Profit is simply 'maximal surplus'. It is ideological to assume that conducting an action with the most bountiful surplus being achieved is a route towards guaranteeing poverty (the eradication of poverty must be met by surplus).,Fallacy Of False Cause,"Commodities are produced for exchange, under capitalism, and decisions as to the production and distribution of commodities are made in accordance with maximum profit as opposed to maximum social benefit.",because,watch spiderman free online 2006 at 9movies.be Science Religion Evolution Technology Better Than Space Politics Philosophy Life Art Death Society Drugs Games Programming Movies Aliens Gender Universe Meta Socialism Economy Animals People,https://en.arguman.org/socialism-is-more-effective-at-poverty-reduction-and-ensuring-the-meeting-of-basic-needs-than-capitalism
715,"'Marginalized' and 'forced into wage slavery' are highly charged emotive ways of stating what you believe is one of the obstacles between the workers and reducing their poverty. Capitalism does not 'force into slavery' these workers to practice sub-standard education, arguably a greater antecedent cause of a poverty trap.",Prejudicial Language,"When the workers own the means of production, they can ensure that they are not marginalized and forced into wage slavery.",because,watch spiderman free online 2006 at 9movies.be Science Religion Evolution Technology Better Than Space Politics Philosophy Life Art Death Society Drugs Games Programming Movies Aliens Gender Universe Meta Socialism Economy Animals People,https://en.arguman.org/socialism-is-more-effective-at-poverty-reduction-and-ensuring-the-meeting-of-basic-needs-than-capitalism
716,"Workers can ensure that they are not marginalized and forced into wage slavery under Capitalism. The underlying cause of what you would class as wage slavery is low quality education systems - currently identified for example in the United States as the Public School system, despite the highest socialist-type dollar spending per pupil on average than any other western nation. Private skills gaining organizations with little State interference would be a good case for a replacement to attain access to robust education.",Joint Effect,"When the workers own the means of production, they can ensure that they are not marginalized and forced into wage slavery.",because,watch spiderman free online 2006 at 9movies.be Science Religion Evolution Technology Better Than Space Politics Philosophy Life Art Death Society Drugs Games Programming Movies Aliens Gender Universe Meta Socialism Economy Animals People,https://en.arguman.org/socialism-is-more-effective-at-poverty-reduction-and-ensuring-the-meeting-of-basic-needs-than-capitalism
717,Self-referential,Begging The Question,Use of property by an individual who legitimately owns it is not a violent act.,but,Property is theft.,https://en.arguman.org/property-is-theft
718,"Argument assumes that FP languages cannot deal with a ""dynamic but stateful world"". This is not true - FP languages provide methods for managing state and non-determinism in a structured way.",Fallacy Of Red Herring,"Its a question what most people think how the world works.Because apps should solve realworld problems.Even if some argue the world is inherently FP,most people like to think they effect things and move around in a dynamic but stateful world.Any representation of state in FP is counter FP/ unelegant",because,Functional programming is not useful for most apps,https://en.arguman.org/functional-programming-is-not-useful
719,That argument has not been settled and currently it appears to have more detractors than supporters.,Begging The Question,,because,Programming languages with fancy type systems (like Haskell) will never become mainstream.,https://en.arguman.org/fancy-type-systems-like-haskells-will-never-be-mainstream
720,"There is no such a thing as ""value"" in socialism, so the premise is attacking something else, not ""socialism"".",Fallacy Of Red Herring,"Business owners do not pay the workers - the consumers pay the workers, the business owner is trying to sell the labor of the worker to these consumers - no amount of socialism can make consumers want to buy the labor of the worker who is STILL inefficient or provides no economic value.",but,watch spiderman free online 2006 at 9movies.be Science Religion Evolution Technology Better Than Space Politics Philosophy Life Art Death Society Drugs Games Programming Movies Aliens Gender Universe Meta Socialism Economy Animals People,https://en.arguman.org/socialism-is-more-effective-at-poverty-reduction-and-ensuring-the-meeting-of-basic-needs-than-capitalism
721,"If the shape of your skull doesn't show your personality, then what's the point of having phrenology? I'll tell you why, because the shape of the skull really matters. (?)",Irrelevant Conclusion,"The only way to extrapolate a belief from the Bible is through the interpretation of the text. If all you had to do to understand a religion was simply read the text, then what's the point of having theology? I'll tell you why, because interpretations of the text are valuable.",but,"Schools should be required to present creation as a theory alongside evolution, since neither can be proven superior over the other by science",https://en.arguman.org/schools-should-be-required-to-present-creation-as-a-theory-alongside-evolution-since-neither-can-be-proven-superior-over-the-other-by-science
722,irrelevant joke.,Irrelevant Conclusion,He killed Hitler.,because,Hitler Wasn't THAT Bad.,https://en.arguman.org/hitler-wasnt-that-bad
723,"Since there are no fully communist countries in the world (even the USSR set communism as a *goal*, and declared to be living in socialism), such blanket statement is unsupported.",Begging The Question,"Class society is the root of economic inequality, and replacing capitalist productive relations with a socialist socioeconomic formation [1] is the most effective way to eradicate economic inequality.",but,A universal basic income is the best way to eradicate economic inequality.,https://en.arguman.org/a-universal-basic-income-is-the-best-way-to-eradicate-economic-inequality
724,It is not backed with reason or logic.,Irrelevant Conclusion,It is.,but,Feminism is not needed,https://en.arguman.org/feminism-is-not-needed
725,Socialist countries started out at a lower stage of development and had many impediments to economic progress.,Fallacy Of False Cause,Human greed inevitably leads to ruling party members enriching themselves while the majority live in primitive conditions. E.g. east vs west Berlin during the cold war.,but,A universal basic income is the best way to eradicate economic inequality.,https://en.arguman.org/a-universal-basic-income-is-the-best-way-to-eradicate-economic-inequality
726,"It's not a stupid question where is your proof that inequality makes people's lives worse? A millionaire may be jealous of a billionaire but, even though they are not equal, the millionaire still probably has hir needs met most adequately.",Poisoning The Well,"Because inequality makes people's lives worse, makes them live in poverty, and forces them to spend their lives in conditions of oppression and hierarchy. This is a stupid question.",but,A universal basic income is the best way to eradicate economic inequality.,https://en.arguman.org/a-universal-basic-income-is-the-best-way-to-eradicate-economic-inequality
727,If it is additionally undesirable doesn't add to the discussion whether it is evolutionary unfavorable.,Irrelevant Conclusion,"From a historical societal standpoint, it is also undesirable. Which begs the question: From what group standpoint is homosexuality desirable? I request a group standpoint because from individual standpoints, any number of arguments can be made regarding any topic.",however,"From an evolutionary standpoint, homosexuality is an unfavorable trait.",https://en.arguman.org/from-an-evolutionary-standpoint-homosexuality-is-an-undesirable-trait
728,"Without sources proving the undesirability from historical societal standpoint, the argument is baseless.",Appeal To Belief,"From a historical societal standpoint, it is also undesirable. Which begs the question: From what group standpoint is homosexuality desirable? I request a group standpoint because from individual standpoints, any number of arguments can be made regarding any topic.",however,"From an evolutionary standpoint, homosexuality is an unfavorable trait.",https://en.arguman.org/from-an-evolutionary-standpoint-homosexuality-is-an-undesirable-trait
729,Loaded or emotive terms used to attach value or moral goodness to believing the proposition.,Prejudicial Language,"You're just a sexist pig, cis scum.",but,Males have more difficulty with body image issues than women.,https://en.arguman.org/males-have-more-difficulty-with-body-image-issues-than-women
730,ABILITY and NEED are not the same thing. It's a misdirection. God can't change himself but he doesn't need to so therefore he is still all powerful? That's internally inconsistent.,False Analogy,"If god is already all powerful, then there is no need for him to change.",however,"If bad things happen, god is either not all powerful, doesn't love us, or doesn't exist",https://en.arguman.org/if-bad-things-happen-god-is-either-not-all-powerful-doesnt-love-us-or-doesnt-exist
731,"Moving the goalposts. The argument at the top of the page is:
""If bad things happen, god is either not all powerful, doesn't love us, or doesn't exist""
The argument here admits, then, that got is NOT all powerful.",Fallacy Of Red Herring,"""most powerful being"" does not imply ""absolutly powerful"".",but,"If bad things happen, god is either not all powerful, doesn't love us, or doesn't exist",https://en.arguman.org/if-bad-things-happen-god-is-either-not-all-powerful-doesnt-love-us-or-doesnt-exist
732,change=/=become more powerful,Irrelevant Conclusion,"Either way, the most powerful being can't become more powerful if they are already the most powerful. The most powerful is the most powerful, their ability to change how powerful they are is irrelevant if they are always the most powerful.",however,"If bad things happen, god is either not all powerful, doesn't love us, or doesn't exist",https://en.arguman.org/if-bad-things-happen-god-is-either-not-all-powerful-doesnt-love-us-or-doesnt-exist
733,"My premise defines the parameters of the discussion, not any conclusion.",Begging The Question,Its true but trival. If you define you premise down to the wire then there is no argument. You premise defines the conclusion,but,Donald Trump is a racist,https://en.arguman.org/donald-trump-is-a-racist
734,The resulting presumption is that companies are loving towards their employees. You must first establish that before using companies firing employees as an analogy to god's love.,False Analogy,"The United States does this exact thing, and I surprised you didn't see the connection I was trying to make. The United States defends free speech, it's in the First Amendment. However there are plenty of companies that will fire people or not hire people because of their beliefs or what they say.",but,"If bad things happen, god is either not all powerful, doesn't love us, or doesn't exist",https://en.arguman.org/if-bad-things-happen-god-is-either-not-all-powerful-doesnt-love-us-or-doesnt-exist
735,"Moving the goalposts again. Every single word is being redefined in order to fit the desired outcome. First it was ""love"" and now it is ""freedom."" Eventually no word will have meaning, all in order to contort meaning itself to fit the desired conclusion. But logical arguments are not tied to words, but to meanings of the words as argued. Fluid semantics is not an argument but a desperate fallacy.",Fallacy Of Red Herring,"I think it is probable we are working with different definition of freedom. (i don’t even consider free-will because i think it is a ill-defined concept most of the time).
It seem it will be very hard to agree without clearing this point.",however,"If bad things happen, god is either not all powerful, doesn't love us, or doesn't exist",https://en.arguman.org/if-bad-things-happen-god-is-either-not-all-powerful-doesnt-love-us-or-doesnt-exist
736,Irrelevant.,Irrelevant Conclusion,"if people exist who do evil unless x, it doesnt follow that we should allow x. Especialy when discussing whether x is evil or not",but,Socialized Prostitution would greatly improve many aspects of America.,https://en.arguman.org/socialized-prostitution-would-greatly-improve-many-aspects-of-america-it-has-been-tied-to-a-decrease-in-sexual-violence-towards-women-and-could-potentially-lower-the-amount-of-gun-violence-by-providing-thirsty-young-men-with-some-much-needed-release
737,Irrelevant. Reduction is a positive.,Irrelevant Conclusion,People who kill if they are deprived of sex should probably be put in prison.,but,Socialized Prostitution would greatly improve many aspects of America.,https://en.arguman.org/socialized-prostitution-would-greatly-improve-many-aspects-of-america-it-has-been-tied-to-a-decrease-in-sexual-violence-towards-women-and-could-potentially-lower-the-amount-of-gun-violence-by-providing-thirsty-young-men-with-some-much-needed-release
738,We're all already subject to laws and regulations.,Irrelevant Conclusion,"Thier sexual relationships and rights over thier own body would be subject to laws and regulations, such as forced sexual health examinations. This conflict with common law is why this practoce has been stopped in the past",but,Socialized Prostitution would greatly improve many aspects of America.,https://en.arguman.org/socialized-prostitution-would-greatly-improve-many-aspects-of-america-it-has-been-tied-to-a-decrease-in-sexual-violence-towards-women-and-could-potentially-lower-the-amount-of-gun-violence-by-providing-thirsty-young-men-with-some-much-needed-release
739,Missed the point,Irrelevant Conclusion,You can already hire psycholgists. Who I assume would argue they were better qualified,but,Socialized Prostitution would greatly improve many aspects of America.,https://en.arguman.org/socialized-prostitution-would-greatly-improve-many-aspects-of-america-it-has-been-tied-to-a-decrease-in-sexual-violence-towards-women-and-could-potentially-lower-the-amount-of-gun-violence-by-providing-thirsty-young-men-with-some-much-needed-release
740,So what?,Irrelevant Conclusion,You could be asked to pay with sexual favours.,but,Socialized Prostitution would greatly improve many aspects of America.,https://en.arguman.org/socialized-prostitution-would-greatly-improve-many-aspects-of-america-it-has-been-tied-to-a-decrease-in-sexual-violence-towards-women-and-could-potentially-lower-the-amount-of-gun-violence-by-providing-thirsty-young-men-with-some-much-needed-release
741,The state would not pay for them sleeping together.,Irrelevant Conclusion,A husband and wife could both become state prostitutes and be paid for sleeping together,but,Socialized Prostitution would greatly improve many aspects of America.,https://en.arguman.org/socialized-prostitution-would-greatly-improve-many-aspects-of-america-it-has-been-tied-to-a-decrease-in-sexual-violence-towards-women-and-could-potentially-lower-the-amount-of-gun-violence-by-providing-thirsty-young-men-with-some-much-needed-release
742,Protection of the law is not removed,Irrelevant Conclusion,The vast majority of prostitutes are trafficed women forced into effective slavery of the worst kind. Legalising it because of a liberal middle class fantasy removes the protection of the law from those who most need it,but,Socialized Prostitution would greatly improve many aspects of America.,https://en.arguman.org/socialized-prostitution-would-greatly-improve-many-aspects-of-america-it-has-been-tied-to-a-decrease-in-sexual-violence-towards-women-and-could-potentially-lower-the-amount-of-gun-violence-by-providing-thirsty-young-men-with-some-much-needed-release
743,liberal middle class fantasy,Prejudicial Language,The vast majority of prostitutes are trafficed women forced into effective slavery of the worst kind. Legalising it because of a liberal middle class fantasy removes the protection of the law from those who most need it,but,Socialized Prostitution would greatly improve many aspects of America.,https://en.arguman.org/socialized-prostitution-would-greatly-improve-many-aspects-of-america-it-has-been-tied-to-a-decrease-in-sexual-violence-towards-women-and-could-potentially-lower-the-amount-of-gun-violence-by-providing-thirsty-young-men-with-some-much-needed-release
744,If prostitution is evil then you are allowing an evil to prevent another evil.,Begging The Question,"It could potentially lower the amount of gun violence by providing thirsty young men with some much-needed release, and by being socialized, it removes the barrier of ""wealth"" from preventing any individual from fulfilling a biological imperative.",because,Socialized Prostitution would greatly improve many aspects of America.,https://en.arguman.org/socialized-prostitution-would-greatly-improve-many-aspects-of-america-it-has-been-tied-to-a-decrease-in-sexual-violence-towards-women-and-could-potentially-lower-the-amount-of-gun-violence-by-providing-thirsty-young-men-with-some-much-needed-release
745,"The problem with this argument is that they are separate issues. Religious institutions are for the purpose of worshiping and preaching, while schools are for general education.",Fallacy Of Slippery Slope,"Churches, mosques and other religious institutions should be required to present (and praise and preach:)) evolution, fossil record, deep time, relativity, etc.. since neither story is superior to the other.",however,"Schools should be required to present creation as a theory alongside evolution, since neither can be proven superior over the other by science",https://en.arguman.org/schools-should-be-required-to-present-creation-as-a-theory-alongside-evolution-since-neither-can-be-proven-superior-over-the-other-by-science
746,"This is a personal opinion/belief, not an argument, and is a rebuttal to specific beliefs, not the main topic of discussion. Also, no sources for information are included. Therefore, it has no place here.",Fallacy Of Irrelevant Purpose,"Teaching creationism is bad science. Standard creationist claims about the age of the Earth, the pattern of descent of living creatures, and human history are contradicted by scientific evidence, and were rejected by mainstream science over a century ago. Teaching this would be misinforming students",but,"Schools should be required to present creation as a theory alongside evolution, since neither can be proven superior over the other by science",https://en.arguman.org/schools-should-be-required-to-present-creation-as-a-theory-alongside-evolution-since-neither-can-be-proven-superior-over-the-other-by-science
747,Irrelevant.,Irrelevant Conclusion,People like him and his (racist?) views. Hence : you might as well call everyone racist,but,Donald Trump is a racist,https://en.arguman.org/donald-trump-is-a-racist
748,"He gives us freedom of choice. If we never had a choice to fly like a bird, then he isn't preventing anything. What are you even trying to say with this premise anyways? We aren't birds, we are humans. We were never made to fly.",Fallacy Of Red Herring,he doesn't give us the freedom to fly like a bird (like a bird=without technical devices),but,"If bad things happen, god is either not all powerful, doesn't love us, or doesn't exist",https://en.arguman.org/if-bad-things-happen-god-is-either-not-all-powerful-doesnt-love-us-or-doesnt-exist
749,Such a definition for natural was given.,Irrelevant Conclusion,"I beg to differ on your premise regarding ""we can exclusively define what is natural to humans"" unless you supply such a definition.
Otherwise why wouldn't using instruments (for example, for a sex change) created by humans be natural means for doing any particular thing for a human being?",however,Changing your gender/sex is unnatural,https://en.arguman.org/changing-your-gendersex-is-unnatural
750,economists have no more authority on defining socialism than historians and philosophers.,Appeal To Authority,"One writer does not define what socialism is. It is accepted by all economists that the above examples are socialism, and that almost all nations (including the US) are partly socialist.",but,Both socialism and capitalism can function as economic systems when employed under adequate circumstances.,https://en.arguman.org/both-socialism-and-capitalism-can-function-as-economic-systems-when-employed-under-adequate-circumstances
751,circular,Begging The Question,,because,Free will (the existence of autonomous human decisions made neither predictably nor randomly) is not real.,https://en.arguman.org/free-will-the-idea-that-humans-make-decisions-in-a-way-that-is-not-predictable-is-not-random-and-is-under-the-control-of-the-person-is-not-real
752,"Saying ""the brain decides"" is begging the question ""people don't have free will"" since the brain is part of a person",Begging The Question,the brain decides how we respond. The brain is just a strange computer. => no choise how to respond,but,People don't have free will,https://en.arguman.org/people-dont-have-free-will
753,One assertion. No evidence or argument.,Slothful Induction,no you don't,but,People don't have free will,https://en.arguman.org/people-dont-have-free-will
754,One assertion. No evidence or argument.,Slothful Induction,I do.,but,People don't have free will,https://en.arguman.org/people-dont-have-free-will
755,Irrelevant,Irrelevant Conclusion,Elm,but,Functional programming is not useful for most apps,https://en.arguman.org/functional-programming-is-not-useful
756,Troll Response,Wrong Direction,"Americans should not be allowed to exit the United States.
This way, US economy crashes and muslim (plus europeans, russians, chinese, latin americans, etc...) people are safe again.",but,Muslims should not be able to enter the United States,https://en.arguman.org/muslims-should-not-be-able-to-enter-the-united-states
757,Thats a good reason to go!!,Irrelevant Conclusion,the average meal has over 4500 calories,because,We shouldn't go to Wahaca for lunch.,https://en.arguman.org/we-shouldnt-go-to-wahaca-for-lunch
758,"The Founding Father's were diverse in their political ideologies. Some were worried about the tyranny of the uneducated minority (the Federalists) and those same people wanted a big central government without any BoR because they thought the federal govt would have been limited enough. The Anti-federalists were worried about a tyranny of the rich minority. They wanted a BoR in order to protect the people. Your conclusion that the founding fathers favored minority rule is false and irrelevant to the topic. And as a last note, while some of the founding fathers were either born into wealth or inherited it, there were also some who were ordinary people who became political. You can't generalize everything.",Irrelevant Conclusion,"Democracy should not be about voting who should rule you.
It is impossible for one person to represent the views of hundreds of thousands.
Democracy should be about voting on policies.
The founding fathers were part of a powerful minority, so favoured minority rule, their rule.",but,Direct digital democracy should be implemented by governments worldwide.,https://en.arguman.org/direct-digital-democracy-should-be-implemented-by-governments-worldwide
759,"meaning and value are subjective, belonging to the individual in question and those associated with them. In this case the organism does not have the capacity to assign meaning or value to its own life and it does not belong to the outside world so no value can be ascribed except by the parents",Wrong Direction,"Meaning and value is subjective, so we cannot justify the killings of people simply because the killer thought the victim's life had no meaning or value.
Life and body must be inherent properties only the owner can make decisions about for society to exist.",but,Abortion is murder.,https://en.arguman.org/abortion-is-murder
760,"The appropriate punishment, if any, depends upon the conclusion of the original argument. This point neither supports nor rejects the conclusion that abortion is murder.",Irrelevant Conclusion,"The punishment, in the case of this act, should be limited to a small fine paid to the woman for the miscarriage.",however,Abortion is murder.,https://en.arguman.org/abortion-is-murder
761,Or should I write it as a report reason?,Irrelevant Conclusion,"@fuzzydunlop
Should I better put that text in a but or a because?",however,Changing your gender/sex is unnatural,https://en.arguman.org/changing-your-gendersex-is-unnatural
762,"I live in the Netherlands, the reason very little people here have guns is not because we once wrote a law saying we can't have them. It's because there wasn't a demand for guns in the first place.",Fallacy Of False Cause,Countries where guns are almost universally banned do not show this trend at all,but,banning firearms is centralizing gun ownership with the elite ruling class,https://en.arguman.org/gun-control-is-centrallizing-gun-ownership-with-the-elite-ruling-class
763,a fetus requires the care and significant resources of its mother. Just because a fetus is created does not mean that it ought to be supported.,Fallacy Of Is To Ought,"Who is in the position to decide over this value? It is true that the parents are the owners of the child, but the child does possess his life, which only he can decide upon. And since a fetus cannot speak out its wishes yet, no action should be taken regarding damaging the child's life.",but,Abortion is murder.,https://en.arguman.org/abortion-is-murder
764,"While it is correct that the fetus' existence is not its own responsibility. That does not preclude the rightful use of self defense, which would still be justifiable.",Irrelevant Conclusion,"A voluntary attack has to be necessary for self defense to be a thing, the fetus' life is not its own responsibility so cannot be held accountable for its existence.",but,Abortion is murder.,https://en.arguman.org/abortion-is-murder
765,animals will still eat plants even if we don't kill them,Irrelevant Conclusion,"Even if they had feelings, a vegan lifestyle would be bettter for them because less would get killed. It takes more plants to make meat than if we just eat the plants.",but,a vegan diet is the most ethically viable,https://en.arguman.org/a-vegan-diet-is-the-most-ethically-viable
766,"People are not born criminals. Motivations for crime greatly vary. (granted, fewer guns might mean better living conditions)",Argument Against TheMan,"It would make it harder for people that are intending on harming others to acquire said guns, criminals will be criminals with or without laws.",but,"Gun control will only cause more crime, not prevent it.",https://en.arguman.org/gun-control-will-only-cause-more-crime-not-prevent-it
767,"""Criminals"". A criminal was once a law abiding citizen until he ignored a law. By having Gun laws apply to law abiding citizens, they apply to ""potential criminals"".",Argument Against TheMan,"Criminals tend to ignore laws (especially gun laws). Guns laws are only obeyed by law abiding citizens, who wouldn't cause problems anyways",because,"Gun control will only cause more crime, not prevent it.",https://en.arguman.org/gun-control-will-only-cause-more-crime-not-prevent-it
768,Humans may well be the cause. Not relevant to whether it is beneficial or not.,Fallacy Of Red Herring,,but,Global Warming is actually beneficial to humans,https://en.arguman.org/global-warming-is-actually-beneficial-to-humans
769,Being a monarch.,Appeal To Authority,We are all subjects of Her Majesty the Queen and its her money,because,Taxation is not theft.,https://en.arguman.org/taxation-is-not-theft
770,Just because you disagree with the conclusion of a someone in a field does not make them any less correct,Argument Against TheMan,"Who gives a shit to today's economists. They know shit about economy. It abhors me to read Piketty's ""solutions"" to 2008/9 crisis, it is really a hopeless field of study.
It's like 1900 all over again.",but,The rise of conservatism and reactionarism is caused by political ignorance.,https://en.arguman.org/the-rise-of-conservatism-and-reactionarism-is-caused-by-political-ignorance
771,"(Fallacy is broken window fallacy but it wasn't in the list)
You can't say the taxee benefits from something that equally hurt him before, if that money didnt get taken from him he'd use it on something else.
It's the broken window fallacy because it's like saying breaking your window creates a job for the window maker, who can spend the money somewhere else, etc. etc. boosting the economy. Disregarding that the value created was already lost when the window broke.",Wrong Direction,Taxes go towards stuff that benefits the taxee.,because,Taxation is not theft.,https://en.arguman.org/taxation-is-not-theft
772,"Agreement (consent) is the thing at issue, but by saying ""tax has the implicit agreement of society"" you are presuming consent exists, without evidence, in order to make your argument.",Begging The Question,Theft is taking something without permission; tax has the implicit agreement of society.,because,Taxation is not theft.,https://en.arguman.org/taxation-is-not-theft
773,"The question of whether theft occurred hinges on consent to the exchange, not whatever the taxee may receive from government independently from being taxed.",Fallacy Of Red Herring,Taxes go towards stuff that benefits the taxee.,because,Taxation is not theft.,https://en.arguman.org/taxation-is-not-theft
774,"This is simply a false argument, not an irrelevant conclusion per se, but that's not on the drop-down. You are simply wrong.
Extortion is a subset of Theft, so your agreement with the original statement is wrong simply as a matter of logic.",Irrelevant Conclusion,"Webster's defines theft as the taking of property with intent to deprive the rightful owner of it. The taxee sends money to the taxing authority themselves, on pain of imprisonment. This is not theft but extortion, the getting of property/money from a person by the use of force or threats.",because,Taxation is not theft.,https://en.arguman.org/taxation-is-not-theft
775,"You are under threat of force if you don't pay any debt, not just a tax debt.",Fallacy Of Special Pleading,I do not have the choice not to pay tax because I am under the threat of force if I do not pay.,but,Taxation is not theft.,https://en.arguman.org/taxation-is-not-theft
776,"Jailing occurs when you deliberately obfuscate income or otherwise lie in an effort to evade accurate tax accounting. Failure to pay taxes results in accrued debt and penalties, not in jail. Jail sentences are not issued simply for failure to pay.",Fallacy Of False Cause,"Source? If I stop paying taxes I am not free to leave, I am jailed. You lose a lot more than access to government services if you do not pay, which is why it is forceful and theft. I do not simply consent by being alive, since the government enforces a monopoly over these things I have no choice.",but,Taxation is not theft.,https://en.arguman.org/taxation-is-not-theft
777,Just because taxes may be necessary for a government to function does not mean they are not theft. The payment analogy is also a false analogy because I do not choose which government services I buy and which I do not. I also do not consume many of the services of which money is taken for.,Irrelevant Conclusion,"Taxation is necessary for a government to function effectively, which in turn allows the government to serve its people. In short, taxes are payment for governmental services we otherwise take for granted.",because,Taxation is not theft.,https://en.arguman.org/taxation-is-not-theft
778,Troll answer.,Wrong Direction,"Americans should not be allowed to exit the United States.
This way, US economy crashes and muslim (plus europeans, russians, chinese, latin americans, etc...) people are safe again.",but,Muslims should not be able to enter the United States,https://en.arguman.org/muslims-should-not-be-able-to-enter-the-united-states
779,"You try to undermine economists by simply stating ""Who gives a shit about them""",Prejudicial Language,"Who gives a shit to today's economists. They know shit about economy. It abhors me to read Piketty's ""solutions"" to 2008/9 crisis, it is really a hopeless field of study.
It's like 1900 all over again.",but,The rise of conservatism and reactionarism is caused by political ignorance.,https://en.arguman.org/the-rise-of-conservatism-and-reactionarism-is-caused-by-political-ignorance
780,No way it can accomplish that feat.,Fallacy Of Slippery Slope,It would turn us all into communists,but,The government should be required to use open source software (for civilian operations at least),https://en.arguman.org/the-government-should-be-required-to-use-open-source-software
781,This fails to explain how Ruby comes off in comparison to Python.,Irrelevant Conclusion,Ruby is a caveman language for garbage people,because,Python is better than Ruby,https://en.arguman.org/python-is-better-than-ruby
